nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Pregunta P3.20.5 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero por el alquiler de algún bien (placas para taxi, automóvil, etcétera)?",1,C,p3_20_5,p3_20_5,"1,2,9"
Pregunta P3.20A.5 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_5,p3_20a_5,"000500...600000,999999"
"Pregunta P3.20.6 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero por la renta de alguna propiedad (casa, edificio, local, terreno, tierra de cultivo, etcétera)?",1,C,p3_20_6,p3_20_6,"1,2,9"
Pregunta P3.20A.6 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_6,p3_20a_6,"000060...140000,980000,999999"
"Pregunta P3.20.7 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero por retiro de intereses bancarios?",1,C,p3_20_7,p3_20_7,"1,2,9"
Pregunta P3.20A.7 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_7,p3_20a_7,"000020...099999,980000,999999"
"Pregunta P3.20.8 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero por venta o empeño de algún bien (casa, joyas, vehículos, maquinaria, animales, electrodomésticos, etcétera)?",1,C,p3_20_8,p3_20_8,"1,2,9"
Pregunta P3.20A.8 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_8,p3_20a_8,"000100...600000,980000,999999"
Clave geográfica,2,C,cvegeo,cvegeo,01...32
Entidad,2,C,cve_ent,cve_ent,01...32
Tamaño de localidad,1,C,tloc,tloc,1...4
Variable indicadora del tamaño de localidad para explotación,1,C,menor10,menor10,"1,2"
Estrato de diseño muestral,4,C,est_dis,,0001...0342
Unidad primaria de muestreo,5,C,upm_dis,,00001...04208
Factor de expansión del hogar,5,C,fac_hog,,00007...12654
Control de vivienda,7,C,control,,0100094...3261231
Número de vivienda seleccionada,2,C,viv_sel,,01...24
Número de hogar en la vivienda,1,C,hogar,,1...5
